Station Code,Name,Date,Temp,Prec,WS,Humi,Pres
108,서울,2020-07-19,24,29.1,2.7,81.6,994.9
108,서울,2020-07-20,23.8,3.6,3.7,86.3,995.9
108,서울,2020-07-21,25,0,1.6,77,1001.8
108,서울,2020-07-22,23.7,11.5,1.6,89.3,999.9
108,서울,2020-07-23,21.1,103.1,3.6,95.5,995.7
108,서울,2020-07-24,22.5,2.9,4.6,74.3,989.3
108,서울,2020-07-25,24.3,0,3.1,69.3,993.6
108,서울,2020-07-26,25.4,0,2,69.3,997.4
108,서울,2020-07-27,24.3,2.2,2.2,86.4,998.6
108,서울,2020-07-28,24.4,0.4,2,84.8,1000.5
108,서울,2020-07-29,23.7,50.1,2,95.8,1002
108,서울,2020-07-30,25.3,0.1,2.1,85.5,1003.4
108,서울,2020-07-31,26.2,1.5,2,81.9,1003.9
108,서울,2020-08-01,25.3,39.1,1.7,90.9,1000.5
108,서울,2020-08-02,24.9,31.4,2.3,96.3,997.8
108,서울,2020-08-03,25,102.6,3,96.3,998.4
108,서울,2020-08-04,27,3.9,3.5,89.3,1000.9
108,서울,2020-08-05,26.5,18.5,1.9,92.1,1000.8
108,서울,2020-08-06,24.1,75.7,3.3,92.8,995.4
108,서울,2020-08-07,24.3,0,1.8,85.3,996.9
108,서울,2020-08-08,24.2,19.1,2.3,89.5,993.2
108,서울,2020-08-09,24.9,50.3,2.6,95.4,992.5
108,서울,2020-08-10,26.5,44.6,2,91.6,993.8
108,서울,2020-08-11,24.6,97,2.2,92.5,999.6
108,서울,2020-08-12,27.2,,1.9,83.9,1002.7
108,서울,2020-08-13,28,,2.5,82.4,999.3
108,서울,2020-08-14,27.1,0.4,3.5,86.1,995.8
108,서울,2020-08-15,26.1,69,1.9,96,998.7
108,서울,2020-08-16,27.4,,3,82.6,1001
108,서울,2020-08-17,28.2,,2.3,77.9,1003.7
108,서울,2020-08-18,27.5,,1.6,76.3,1003.2
108,서울,2020-08-19,27.1,,2,76.8,1001.7
108,서울,2020-08-20,27.7,,1.7,76,1002.4
108,서울,2020-08-21,26.6,2.5,1.6,83.1,1003.9
108,서울,2020-08-22,24.3,42.6,2.1,87.4,1002.5
108,서울,2020-08-23,25.3,,1.9,78.4,998.7
108,서울,2020-08-24,27.8,,2.2,71.6,995.2
108,서울,2020-08-25,29.9,,2.1,69.5,995
108,서울,2020-08-26,30.2,0.6,3.4,68.3,992.2
108,서울,2020-08-27,27.1,8.7,3.6,84.6,991.3
108,서울,2020-08-28,27.3,13.6,1.6,89.1,997.3
108,서울,2020-08-29,26.8,13.6,1.3,90.1,999.2
108,서울,2020-08-30,26.8,42.5,2.1,88.8,1001.6
108,서울,2020-08-31,26.4,0,2.8,77.9,1002.4
108,서울,2020-09-01,26.6,0,1.9,72.4,999.4
108,서울,2020-09-02,24.3,33.3,2.3,91.3,993.7
108,서울,2020-09-03,22.7,29.8,4.8,82,987.3
108,서울,2020-09-04,23.3,,2.7,63.9,1002.2
108,서울,2020-09-05,23.3,,2,66.6,1003.5
108,서울,2020-09-06,21.7,6.4,2.7,80,999.3
108,서울,2020-09-07,19.2,61,4.2,93.5,983.1
108,서울,2020-09-08,23.4,0,4.2,71.5,998.7
108,서울,2020-09-09,21.1,1.3,2.1,83.4,999.9
108,서울,2020-09-10,22.8,3.9,2,75.8,999.1
108,서울,2020-09-11,22.4,1.2,2.8,72.6,1004.5
108,서울,2020-09-12,20.2,5.7,2,83.8,
108,서울,2020-09-13,21.5,,1.9,70.4,1005.7
108,서울,2020-09-14,21.3,0,1.8,79.3,1004.4
108,서울,2020-09-15,23,,1.6,76.4,1002.6
108,서울,2020-09-16,22.5,0.3,1.9,79.9,999.6
108,서울,2020-09-17,21.3,,2.1,70.3,1000.2
108,서울,2020-09-18,21.5,,2.8,62,1002.7
108,서울,2020-09-19,21.2,0.3,2.2,59.3,1004.9
108,서울,2020-09-20,19.7,,2,57.6,1007
108,서울,2020-09-21,19.1,,1.7,56.1,1008.1
108,서울,2020-09-22,20.2,,2.8,55.3,1008.7
108,서울,2020-09-23,19.2,,3.3,59.9,1008.2
108,서울,2020-09-24,20.6,,3.7,59.6,1005.3
108,서울,2020-09-25,20.1,,2.5,64.1,1003.7
108,서울,2020-09-26,19.3,,2.4,62.5,1006.7
108,서울,2020-09-27,20.4,,2,63.3,1008.5
108,서울,2020-09-28,20.7,,2,66,1006.5
108,서울,2020-09-29,19.6,,1.9,67.6,1001.6
108,서울,2020-09-30,19.6,38.3,1.7,78,1000.6
108,서울,2020-10-01,18.8,,2.1,74.9,1003.4
108,서울,2020-10-02,19.2,0,2.3,79.6,1004.6
108,서울,2020-10-03,19.9,0,1.6,72.5,1004.9
108,서울,2020-10-04,16.6,0,2.8,65.1,1002.7
108,서울,2020-10-05,13.3,,2.5,57.3,1007.9
108,서울,2020-10-06,14.2,,2,55.9,1012.2
108,서울,2020-10-07,16,,1.9,48.9,1015.8
108,서울,2020-10-08,17.2,,3.1,53,1016.7
108,서울,2020-10-09,17.2,,3,53.4,1013.2
108,서울,2020-10-10,16.9,,2,60.1,1009.7
108,서울,2020-10-11,16.9,,1.8,68.5,1006.1
108,서울,2020-10-12,16.2,,2.2,68.6,1005.2
108,서울,2020-10-13,13.6,,2.2,52.3,1010.7
108,서울,2020-10-14,12.8,,2.4,47,1014.6
108,서울,2020-10-15,11.7,,1.5,41.8,1015.8
108,서울,2020-10-16,11.8,,1.5,64.3,1013.7
108,서울,2020-10-17,13.1,,1.8,64.3,1013
108,서울,2020-10-18,13.6,,2,65.5,1013.6
108,서울,2020-10-19,15.1,,1.7,74.4,1014.7
108,서울,2020-10-20,15.2,,1.6,67.1,1015.4
108,서울,2020-10-21,14.1,,1.9,69.4,1008.6
108,서울,2020-10-22,13.5,0,2.8,66,1003.5
108,서울,2020-10-23,8.6,,3,51.5,1004.9
108,서울,2020-10-24,8.7,,2.5,47.6,1008.7
108,서울,2020-10-25,11.8,,1.7,62.5,1009.9
108,서울,2020-10-26,12.9,,1.6,71.6,1009.8
108,서울,2020-10-27,14,,1.8,74.1,1010.9
108,서울,2020-10-28,13.8,,2.5,52.1,1012.6
108,서울,2020-10-29,10.8,,2,40.3,1013.7
108,서울,2020-10-30,11.9,,1.5,42.9,1015.2
108,서울,2020-10-31,13.6,,2.6,60.3,1013.9
108,서울,2020-11-01,13.7,13.6,2.3,84.3,1009.2
108,서울,2020-11-02,10.8,1.7,2.3,58.3,1010.1
108,서울,2020-11-03,5.1,0.5,3.5,47.5,1011.9
108,서울,2020-11-04,4.9,,2.3,43.9,1015.2
